source;station;avg_temp;max_temp;min_temp;nights_tropical;days_tropical;days_with_data;mean_diff_vs_meteosuisse;mean_diff_day_vs_meteosuisse;mean_diff_night_vs_meteosuisse
Decentlab;Cimetière;20.79;36.62;7.72;4;15;60;1.2;1.37;0.79
Decentlab;Jardin de Poche;20.5;34.94;8.4;5;13;60;0.91;0.88;1.01
Decentlab;Parc d'Entremonts;20.48;34.92;8.37;5;15;60;0.89;0.63;1.26
Decentlab;Parc des Rives;20.36;35.72;8.06;5;10;60;0.78;0.61;1.24
Decentlab;Pierre de Savoie;20.77;37.04;7.71;3;18;60;1.19;1.47;0.64
Decentlab;Place Pestalozzi;21.11;37.67;8.83;6;19;60;1.53;1.39;1.89
Decentlab;Place d'Arme;21.24;36.29;8.91;7;14;60;1.66;1.47;1.97
Decentlab;Platane du Château;20.89;37.23;8.96;7;14;60;1.3;1.02;1.87
Decentlab;Rue de la Plaine;21.39;36.71;8.86;7;18;60;1.81;1.68;1.9
HOBO;Haldimand;21.2;36.59;8.97;6;16;61;1.61;1.48;1.92
HOBO;Hopital;21.13;35.43;8.8;5;15;61;1.53;1.49;1.63
HOBO;Les Isles;20.72;36.82;7.7;4;14;61;1.12;1.23;0.87
HOBO;Parcst;21.0;36.48;8.26;5;14;61;1.41;1.49;1.24
HOBO;Pres Du Lac;20.59;36.18;7.89;5;13;61;1.0;0.99;1.0
HOBO;Rue Du Canal;20.55;35.75;8.0;4;14;61;0.96;0.97;0.93
MeteoSuisse;MAH;19.59;34.7;6.2;0;12;61;;;
