"Plot Title: Yverdon_les_Tropiques_4"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963346, SEN S/N: 10963346, LBL: temp)","RH, % (LGR S/N: 10963346, SEN S/N: 10963346, LBL: RH)"
1,06/10/25 10:00:00 AM,24.653,47.546
2,06/10/25 10:10:00 AM,24.532,47.979
3,06/10/25 10:20:00 AM,24.339,48.178
4,06/10/25 10:30:00 AM,24.195,48.607
5,06/10/25 10:40:00 AM,24.002,49.920
6,06/10/25 10:50:00 AM,23.954,50.262
7,06/10/25 11:00:00 AM,24.363,51.363
8,06/10/25 11:10:00 AM,24.388,50.288
9,06/10/25 11:20:00 AM,24.339,49.805
10,06/10/25 11:30:00 AM,24.243,49.538
11,06/10/25 11:40:00 AM,24.122,49.554
12,06/10/25 11:50:00 AM,24.050,49.640
13,06/10/25 12:00:00 PM,23.954,49.723
14,06/10/25 12:10:00 PM,23.881,49.840
15,06/10/25 12:20:00 PM,23.809,49.989
16,06/10/25 12:30:00 PM,23.930,51.905
17,06/10/25 12:40:00 PM,24.002,51.409
18,06/10/25 12:50:00 PM,24.050,51.479
19,06/10/25 01:00:00 PM,24.098,51.201
20,06/10/25 01:10:00 PM,24.122,51.584
21,06/10/25 01:20:00 PM,24.267,53.244
22,06/10/25 01:30:00 PM,24.460,53.459
23,06/10/25 01:40:00 PM,24.702,54.342
24,06/10/25 01:50:00 PM,24.968,52.711
25,06/10/25 02:00:00 PM,25.186,51.093
26,06/10/25 02:10:00 PM,25.477,51.101
27,06/10/25 02:20:00 PM,25.841,50.226
28,06/10/25 02:30:00 PM,26.304,51.307
29,06/10/25 02:40:00 PM,26.744,51.271
30,06/10/25 02:50:00 PM,27.161,50.655
31,06/10/25 03:00:00 PM,27.530,50.768
32,06/10/25 03:10:00 PM,27.899,50.881
33,06/10/25 03:20:00 PM,28.221,50.218
34,06/10/25 03:30:00 PM,28.518,48.871
35,06/10/25 03:40:00 PM,28.816,47.257
36,06/10/25 03:50:00 PM,29.115,47.131
37,06/10/25 04:00:00 PM,29.414,46.288
38,06/10/25 04:10:00 PM,29.715,46.390
39,06/10/25 04:20:00 PM,29.966,44.980
40,06/10/25 04:30:00 PM,26.989,43.586
41,06/10/25 04:40:00 PM,27.407,42.979
42,06/10/25 04:50:00 PM,27.456,42.690
43,06/10/25 05:00:00 PM,27.112,42.290
44,06/10/25 05:10:00 PM,27.974,41.530
45,06/10/25 05:20:00 PM,27.284,42.309
46,06/10/25 05:30:00 PM,27.358,43.955
47,06/10/25 05:40:00 PM,27.801,42.925
48,06/10/25 05:50:00 PM,27.481,44.687
49,06/10/25 06:00:00 PM,27.333,45.549
50,06/10/25 06:10:00 PM,27.751,46.542
51,06/10/25 06:20:00 PM,27.628,45.910
52,06/10/25 06:30:00 PM,27.235,45.472
53,06/10/25 06:40:00 PM,27.481,44.818
54,06/10/25 06:50:00 PM,27.702,41.896
55,06/10/25 07:00:00 PM,27.481,37.503
56,06/10/25 07:10:00 PM,27.259,33.665
57,06/10/25 07:20:00 PM,26.965,31.818
58,06/10/25 07:30:00 PM,26.598,32.966
59,06/10/25 07:40:00 PM,26.134,33.999
60,06/10/25 07:50:00 PM,26.671,33.343
61,06/10/25 08:00:00 PM,26.231,34.477
62,06/10/25 08:10:00 PM,25.890,35.047
63,06/10/25 08:20:00 PM,25.720,36.264
64,06/10/25 08:30:00 PM,25.355,39.042
65,06/10/25 08:40:00 PM,24.919,40.672
66,06/10/25 08:50:00 PM,24.460,42.059
67,06/10/25 09:00:00 PM,24.074,43.672
68,06/10/25 09:10:00 PM,23.280,43.483
69,06/10/25 09:20:00 PM,22.776,45.165
70,06/10/25 09:30:00 PM,22.513,46.639
71,06/10/25 09:40:00 PM,22.417,47.934
72,06/10/25 09:50:00 PM,22.345,47.479
73,06/10/25 10:00:00 PM,22.345,47.607
74,06/10/25 10:10:00 PM,21.939,47.205
75,06/10/25 10:20:00 PM,21.843,46.556
76,06/10/25 10:30:00 PM,22.274,45.136
77,06/10/25 10:40:00 PM,21.891,45.122
78,06/10/25 10:50:00 PM,21.533,46.230
79,06/10/25 11:00:00 PM,20.960,48.256
80,06/10/25 11:10:00 PM,20.603,49.598
81,06/10/25 11:20:00 PM,19.865,53.373
82,06/10/25 11:30:00 PM,18.889,57.689
83,06/10/25 11:40:00 PM,18.033,61.336
84,06/10/25 11:50:00 PM,17.748,64.303
85,06/11/25 12:00:00 AM,17.796,64.726
86,06/11/25 12:10:00 AM,17.796,63.806
87,06/11/25 12:20:00 AM,17.701,63.165
88,06/11/25 12:30:00 AM,17.368,64.089
89,06/11/25 12:40:00 AM,17.153,64.615
90,06/11/25 12:50:00 AM,17.296,64.077
91,06/11/25 01:00:00 AM,17.391,63.767
92,06/11/25 01:10:00 AM,17.201,64.416
93,06/11/25 01:20:00 AM,16.987,64.853
94,06/11/25 01:30:00 AM,16.773,65.611
95,06/11/25 01:40:00 AM,16.892,66.133
96,06/11/25 01:50:00 AM,16.392,66.982
97,06/11/25 02:00:00 AM,16.177,68.314
98,06/11/25 02:10:00 AM,16.272,69.348
99,06/11/25 02:20:00 AM,16.249,69.749
100,06/11/25 02:30:00 AM,16.010,70.166
101,06/11/25 02:40:00 AM,15.796,70.501
102,06/11/25 02:50:00 AM,15.438,71.036
103,06/11/25 03:00:00 AM,15.366,71.596
104,06/11/25 03:10:00 AM,14.864,72.499
105,06/11/25 03:20:00 AM,14.840,73.262
106,06/11/25 03:30:00 AM,14.745,73.753
107,06/11/25 03:40:00 AM,14.673,74.531
108,06/11/25 03:50:00 AM,14.792,74.640
109,06/11/25 04:00:00 AM,14.888,74.546
110,06/11/25 04:10:00 AM,14.888,74.716
111,06/11/25 04:20:00 AM,14.649,75.260
112,06/11/25 04:30:00 AM,14.242,75.935
113,06/11/25 04:40:00 AM,14.074,76.516
114,06/11/25 04:50:00 AM,14.026,76.981
115,06/11/25 05:00:00 AM,13.786,77.070
116,06/11/25 05:10:00 AM,13.473,78.060
117,06/11/25 05:20:00 AM,13.353,78.699
118,06/11/25 05:30:00 AM,13.353,79.306
119,06/11/25 05:40:00 AM,13.522,79.342
120,06/11/25 05:50:00 AM,13.642,79.313
121,06/11/25 06:00:00 AM,13.642,79.202
122,06/11/25 06:10:00 AM,13.497,79.392
123,06/11/25 06:20:00 AM,13.281,79.813
124,06/11/25 06:30:00 AM,13.497,79.970
125,06/11/25 06:40:00 AM,13.858,79.911
126,06/11/25 06:50:00 AM,13.834,79.575
127,06/11/25 07:00:00 AM,13.690,79.489
128,06/11/25 07:10:00 AM,14.074,79.351
129,06/11/25 07:20:00 AM,14.242,78.778
130,06/11/25 07:30:00 AM,14.816,78.234
131,06/11/25 07:40:00 AM,14.984,77.097
132,06/11/25 07:50:00 AM,15.199,76.918
133,06/11/25 08:00:00 AM,15.509,75.745
134,06/11/25 08:10:00 AM,15.819,75.328
135,06/11/25 08:20:00 AM,16.344,76.198
136,06/11/25 08:30:00 AM,16.630,76.821
137,06/11/25 08:40:00 AM,16.939,76.263
138,06/11/25 08:50:00 AM,16.892,76.338
139,06/11/25 09:00:00 AM,17.415,76.106
140,06/11/25 09:10:00 AM,17.724,75.970
141,06/11/25 09:20:00 AM,18.271,75.199
142,06/11/25 09:30:00 AM,18.699,73.651
143,06/11/25 09:40:00 AM,18.794,70.487
144,06/11/25 09:50:00 AM,19.365,66.984
145,06/11/25 10:00:00 AM,19.246,67.818
146,06/11/25 10:10:00 AM,19.270,68.616
147,06/11/25 10:20:00 AM,19.436,69.907
148,06/11/25 10:30:00 AM,20.341,67.187
149,06/11/25 10:40:00 AM,20.174,64.629
150,06/11/25 10:50:00 AM,20.317,63.965
151,06/11/25 11:00:00 AM,20.174,63.701
152,06/11/25 11:10:00 AM,20.841,62.701
153,06/11/25 11:20:00 AM,21.294,60.959
154,06/11/25 11:30:00 AM,21.557,61.366
155,06/11/25 11:40:00 AM,21.581,58.225
156,06/11/25 11:50:00 AM,22.082,59.498
157,06/11/25 12:00:00 PM,22.681,55.891
158,06/11/25 12:10:00 PM,23.497,51.562
159,06/11/25 12:20:00 PM,22.920,51.105
160,06/11/25 12:30:00 PM,23.112,51.951
161,06/11/25 12:40:00 PM,23.280,53.513
162,06/11/25 12:50:00 PM,23.593,52.111
163,06/11/25 01:00:00 PM,23.954,50.675
164,06/11/25 01:10:00 PM,24.436,51.088
165,06/11/25 01:20:00 PM,24.750,51.352
166,06/11/25 01:30:00 PM,24.098,51.896
167,06/11/25 01:40:00 PM,25.040,51.740
168,06/11/25 01:50:00 PM,24.508,52.268
169,06/11/25 02:00:00 PM,24.267,53.212
170,06/11/25 02:10:00 PM,25.089,53.579
171,06/11/25 02:20:00 PM,24.677,51.057
172,06/11/25 02:30:00 PM,25.841,50.927
173,06/11/25 02:40:00 PM,24.944,50.997
174,06/11/25 02:50:00 PM,25.453,52.335
175,06/11/25 03:00:00 PM,25.817,51.305
176,06/11/25 03:10:00 PM,26.207,48.127
