"Plot Title: Yverdon_les_Tropiques_7"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963349, SEN S/N: 10963349, LBL: temp)","RH, % (LGR S/N: 10963349, SEN S/N: 10963349, LBL: RH)"
1,06/10/25 10:00:00 AM,24.629,47.575
2,06/10/25 10:10:00 AM,24.412,48.028
3,06/10/25 10:20:00 AM,24.098,48.467
4,06/10/25 10:30:00 AM,23.905,49.016
5,06/10/25 10:40:00 AM,24.002,50.205
6,06/10/25 10:50:00 AM,24.195,49.500
7,06/10/25 11:00:00 AM,24.050,49.322
8,06/10/25 11:10:00 AM,24.484,50.492
9,06/10/25 11:20:00 AM,24.460,49.088
10,06/10/25 11:30:00 AM,24.291,48.907
11,06/10/25 11:40:00 AM,24.146,49.111
12,06/10/25 11:50:00 AM,24.026,49.350
13,06/10/25 12:00:00 PM,23.930,49.497
14,06/10/25 12:10:00 PM,23.857,49.678
15,06/10/25 12:20:00 PM,23.785,49.891
16,06/10/25 12:30:00 PM,23.857,52.053
17,06/10/25 12:40:00 PM,24.002,51.251
18,06/10/25 12:50:00 PM,24.098,51.138
19,06/10/25 01:00:00 PM,24.171,50.957
20,06/10/25 01:10:00 PM,24.243,50.967
21,06/10/25 01:20:00 PM,24.436,53.141
22,06/10/25 01:30:00 PM,24.726,52.835
23,06/10/25 01:40:00 PM,25.040,53.163
24,06/10/25 01:50:00 PM,25.355,51.434
25,06/10/25 02:00:00 PM,25.598,49.395
26,06/10/25 02:10:00 PM,25.963,48.994
27,06/10/25 02:20:00 PM,26.500,48.067
28,06/10/25 02:30:00 PM,26.916,49.085
29,06/10/25 02:40:00 PM,27.259,49.129
30,06/10/25 02:50:00 PM,27.604,48.819
31,06/10/25 03:00:00 PM,27.899,49.082
32,06/10/25 03:10:00 PM,28.221,49.123
33,06/10/25 03:20:00 PM,28.543,48.519
34,06/10/25 03:30:00 PM,28.841,47.390
35,06/10/25 03:40:00 PM,28.617,42.623
36,06/10/25 03:50:00 PM,27.210,44.786
37,06/10/25 04:00:00 PM,27.481,44.165
38,06/10/25 04:10:00 PM,27.186,42.889
39,06/10/25 04:20:00 PM,27.481,43.839
40,06/10/25 04:30:00 PM,27.628,42.939
41,06/10/25 04:40:00 PM,27.456,43.607
42,06/10/25 04:50:00 PM,27.112,41.633
43,06/10/25 05:00:00 PM,27.333,41.592
44,06/10/25 05:10:00 PM,27.308,42.575
45,06/10/25 05:20:00 PM,26.989,43.651
46,06/10/25 05:30:00 PM,26.867,44.648
47,06/10/25 05:40:00 PM,26.818,46.493
48,06/10/25 05:50:00 PM,26.842,46.301
49,06/10/25 06:00:00 PM,26.720,48.095
50,06/10/25 06:10:00 PM,26.622,48.661
51,06/10/25 06:20:00 PM,26.916,48.409
52,06/10/25 06:30:00 PM,26.744,49.608
53,06/10/25 06:40:00 PM,26.769,47.553
54,06/10/25 06:50:00 PM,26.916,43.381
55,06/10/25 07:00:00 PM,26.965,36.985
56,06/10/25 07:10:00 PM,26.695,35.691
57,06/10/25 07:20:00 PM,26.329,33.043
58,06/10/25 07:30:00 PM,25.939,33.075
59,06/10/25 07:40:00 PM,25.598,35.386
60,06/10/25 07:50:00 PM,25.574,34.917
61,06/10/25 08:00:00 PM,25.380,35.498
62,06/10/25 08:10:00 PM,24.581,37.014
63,06/10/25 08:20:00 PM,24.436,38.386
64,06/10/25 08:30:00 PM,24.315,41.782
65,06/10/25 08:40:00 PM,23.689,42.785
66,06/10/25 08:50:00 PM,23.232,43.186
67,06/10/25 09:00:00 PM,22.824,44.591
68,06/10/25 09:10:00 PM,22.369,46.173
69,06/10/25 09:20:00 PM,22.202,47.429
70,06/10/25 09:30:00 PM,22.250,47.913
71,06/10/25 09:40:00 PM,21.987,48.927
72,06/10/25 09:50:00 PM,22.968,46.215
73,06/10/25 10:00:00 PM,22.776,44.843
74,06/10/25 10:10:00 PM,22.417,45.250
75,06/10/25 10:20:00 PM,21.628,47.389
76,06/10/25 10:30:00 PM,21.175,48.726
77,06/10/25 10:40:00 PM,20.960,49.992
78,06/10/25 10:50:00 PM,20.793,49.781
79,06/10/25 11:00:00 PM,20.269,51.624
80,06/10/25 11:10:00 PM,19.603,54.296
81,06/10/25 11:20:00 PM,18.604,60.737
82,06/10/25 11:30:00 PM,17.605,65.610
83,06/10/25 11:40:00 PM,17.486,66.473
84,06/10/25 11:50:00 PM,17.463,66.851
85,06/11/25 12:00:00 AM,17.320,66.738
86,06/11/25 12:10:00 AM,17.034,66.364
87,06/11/25 12:20:00 AM,16.868,67.331
88,06/11/25 12:30:00 AM,16.725,67.247
89,06/11/25 12:40:00 AM,16.654,66.267
90,06/11/25 12:50:00 AM,16.987,65.443
91,06/11/25 01:00:00 AM,17.391,63.261
92,06/11/25 01:10:00 AM,16.463,67.783
93,06/11/25 01:20:00 AM,16.439,68.012
94,06/11/25 01:30:00 AM,16.249,68.443
95,06/11/25 01:40:00 AM,16.177,67.906
96,06/11/25 01:50:00 AM,16.296,68.336
97,06/11/25 02:00:00 AM,16.034,70.026
98,06/11/25 02:10:00 AM,15.772,70.899
99,06/11/25 02:20:00 AM,15.533,71.800
100,06/11/25 02:30:00 AM,15.366,72.682
101,06/11/25 02:40:00 AM,15.199,72.678
102,06/11/25 02:50:00 AM,14.505,75.512
103,06/11/25 03:00:00 AM,14.218,76.182
104,06/11/25 03:10:00 AM,14.385,77.084
105,06/11/25 03:20:00 AM,14.409,76.530
106,06/11/25 03:30:00 AM,14.218,77.439
107,06/11/25 03:40:00 AM,14.170,78.041
108,06/11/25 03:50:00 AM,14.146,77.229
109,06/11/25 04:00:00 AM,14.218,76.602
110,06/11/25 04:10:00 AM,13.882,78.369
