"Plot Title: Yverdon_les_Tropiques_5"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963347, SEN S/N: 10963347, LBL: temp)","RH, % (LGR S/N: 10963347, SEN S/N: 10963347, LBL: RH)"
1,06/10/25 10:00:00 AM,24.968,47.521
2,06/10/25 10:10:00 AM,24.774,47.464
3,06/10/25 10:20:00 AM,24.508,47.784
4,06/10/25 10:30:00 AM,24.291,48.332
5,06/10/25 10:40:00 AM,24.002,50.301
6,06/10/25 10:50:00 AM,24.508,51.256
7,06/10/25 11:00:00 AM,24.388,49.493
8,06/10/25 11:10:00 AM,24.291,50.593
9,06/10/25 11:20:00 AM,24.267,49.954
10,06/10/25 11:30:00 AM,24.195,49.627
11,06/10/25 11:40:00 AM,24.122,49.586
12,06/10/25 11:50:00 AM,24.050,49.672
13,06/10/25 12:00:00 PM,23.978,49.726
14,06/10/25 12:10:00 PM,23.905,49.843
15,06/10/25 12:20:00 PM,23.857,49.964
16,06/10/25 12:30:00 PM,23.905,51.554
17,06/10/25 12:40:00 PM,24.050,51.353
18,06/10/25 12:50:00 PM,24.098,51.391
19,06/10/25 01:00:00 PM,24.146,51.302
20,06/10/25 01:10:00 PM,24.171,51.843
21,06/10/25 01:20:00 PM,24.291,53.561
22,06/10/25 01:30:00 PM,24.484,53.557
23,06/10/25 01:40:00 PM,24.726,54.157
24,06/10/25 01:50:00 PM,24.968,52.900
25,06/10/25 02:00:00 PM,25.210,50.970
26,06/10/25 02:10:00 PM,25.525,50.566
27,06/10/25 02:20:00 PM,26.061,49.423
28,06/10/25 02:30:00 PM,27.431,49.537
29,06/10/25 02:40:00 PM,26.061,49.679
30,06/10/25 02:50:00 PM,26.524,48.745
31,06/10/25 03:00:00 PM,26.965,48.319
32,06/10/25 03:10:00 PM,27.382,46.918
33,06/10/25 03:20:00 PM,26.916,48.892
34,06/10/25 03:30:00 PM,27.038,45.871
35,06/10/25 03:40:00 PM,27.628,43.463
36,06/10/25 03:50:00 PM,27.677,44.058
37,06/10/25 04:00:00 PM,27.998,44.356
38,06/10/25 04:10:00 PM,27.554,45.120
39,06/10/25 04:20:00 PM,27.974,45.267
40,06/10/25 04:30:00 PM,28.419,42.206
41,06/10/25 04:40:00 PM,28.518,42.283
42,06/10/25 04:50:00 PM,28.493,40.662
43,06/10/25 05:00:00 PM,28.295,44.718
44,06/10/25 05:10:00 PM,27.899,44.541
45,06/10/25 05:20:00 PM,27.998,45.922
46,06/10/25 05:30:00 PM,28.097,47.038
47,06/10/25 05:40:00 PM,27.974,47.380
48,06/10/25 05:50:00 PM,28.097,48.204
49,06/10/25 06:00:00 PM,27.801,47.002
50,06/10/25 06:10:00 PM,29.040,45.100
51,06/10/25 06:20:00 PM,28.742,46.142
52,06/10/25 06:30:00 PM,28.171,48.536
53,06/10/25 06:40:00 PM,27.801,49.842
54,06/10/25 06:50:00 PM,28.097,44.825
55,06/10/25 07:00:00 PM,27.604,40.600
56,06/10/25 07:10:00 PM,27.628,34.640
57,06/10/25 07:20:00 PM,27.210,33.324
58,06/10/25 07:30:00 PM,26.207,34.541
59,06/10/25 07:40:00 PM,26.451,34.598
60,06/10/25 07:50:00 PM,26.378,34.256
61,06/10/25 08:00:00 PM,25.987,31.429
