"Plot Title: Yverdon_les_Tropiques_6"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963344, SEN S/N: 10963344)","RH, % (LGR S/N: 10963344, SEN S/N: 10963344)"
1,06/10/25 10:00:00 AM,25.016,47.206
2,06/10/25 10:10:00 AM,24.823,46.764
3,06/10/25 10:20:00 AM,24.581,46.862
4,06/10/25 10:30:00 AM,24.339,47.474
5,06/10/25 10:40:00 AM,24.315,49.197
6,06/10/25 10:50:00 AM,24.122,48.789
7,06/10/25 11:00:00 AM,24.002,48.965
8,06/10/25 11:10:00 AM,24.098,50.313
9,06/10/25 11:20:00 AM,24.098,49.646
10,06/10/25 11:30:00 AM,24.050,49.449
11,06/10/25 11:40:00 AM,23.978,49.471
12,06/10/25 11:50:00 AM,23.905,49.589
13,06/10/25 12:00:00 PM,23.857,49.678
14,06/10/25 12:10:00 PM,23.809,49.799
15,06/10/25 12:20:00 PM,23.737,49.916
16,06/10/25 12:30:00 PM,23.761,50.902
17,06/10/25 12:40:00 PM,23.954,51.181
18,06/10/25 12:50:00 PM,24.026,51.223
19,06/10/25 01:00:00 PM,24.098,51.232
20,06/10/25 01:10:00 PM,24.122,51.963
21,06/10/25 01:20:00 PM,24.219,53.551
22,06/10/25 01:30:00 PM,24.436,53.802
23,06/10/25 01:40:00 PM,24.677,54.370
24,06/10/25 01:50:00 PM,24.992,51.797
25,06/10/25 02:00:00 PM,25.283,50.343
26,06/10/25 02:10:00 PM,25.768,49.641
27,06/10/25 02:20:00 PM,26.475,48.514
28,06/10/25 02:30:00 PM,26.842,49.460
29,06/10/25 02:40:00 PM,27.210,49.604
30,06/10/25 02:50:00 PM,27.554,48.619
31,06/10/25 03:00:00 PM,27.850,49.334
32,06/10/25 03:10:00 PM,28.196,49.571
33,06/10/25 03:20:00 PM,28.493,48.868
34,06/10/25 03:30:00 PM,27.161,44.585
35,06/10/25 03:40:00 PM,27.235,44.202
36,06/10/25 03:50:00 PM,27.284,45.218
37,06/10/25 04:00:00 PM,27.801,43.221
38,06/10/25 04:10:00 PM,27.776,43.414
39,06/10/25 04:20:00 PM,27.481,42.069
40,06/10/25 04:30:00 PM,28.048,41.670
41,06/10/25 04:40:00 PM,28.048,40.614
42,06/10/25 04:50:00 PM,28.444,40.326
43,06/10/25 05:00:00 PM,27.949,40.736
44,06/10/25 05:10:00 PM,27.136,42.129
45,06/10/25 05:20:00 PM,27.604,44.310
46,06/10/25 05:30:00 PM,27.850,44.764
47,06/10/25 05:40:00 PM,27.899,45.552
48,06/10/25 05:50:00 PM,27.850,45.839
49,06/10/25 06:00:00 PM,27.949,47.085
50,06/10/25 06:10:00 PM,27.899,46.332
51,06/10/25 06:20:00 PM,27.751,46.509
52,06/10/25 06:30:00 PM,27.481,48.545
53,06/10/25 06:40:00 PM,27.382,47.662
54,06/10/25 06:50:00 PM,27.530,43.190
55,06/10/25 07:00:00 PM,27.382,44.089
56,06/10/25 07:10:00 PM,26.916,33.768
57,06/10/25 07:20:00 PM,26.573,31.581
58,06/10/25 07:30:00 PM,26.402,32.342
59,06/10/25 07:40:00 PM,25.963,33.815
60,06/10/25 07:50:00 PM,25.817,32.425
61,06/10/25 08:00:00 PM,25.428,34.569
62,06/10/25 08:10:00 PM,24.798,36.704
63,06/10/25 08:20:00 PM,24.388,38.645
64,06/10/25 08:30:00 PM,23.857,40.393
65,06/10/25 08:40:00 PM,23.424,42.625
66,06/10/25 08:50:00 PM,23.016,44.936
67,06/10/25 09:00:00 PM,21.939,47.873
68,06/10/25 09:10:00 PM,21.628,50.207
69,06/10/25 09:20:00 PM,21.748,49.812
70,06/10/25 09:30:00 PM,21.891,49.136
71,06/10/25 09:40:00 PM,21.079,52.204
72,06/10/25 09:50:00 PM,20.913,52.899
73,06/10/25 10:00:00 PM,22.968,44.898
74,06/10/25 10:10:00 PM,22.011,48.327
75,06/10/25 10:20:00 PM,20.531,54.306
76,06/10/25 10:30:00 PM,19.912,56.652
77,06/10/25 10:40:00 PM,20.198,54.660
78,06/10/25 10:50:00 PM,19.318,58.304
79,06/10/25 11:00:00 PM,18.652,60.985
80,06/10/25 11:10:00 PM,18.224,63.074
81,06/10/25 11:20:00 PM,17.486,65.471
82,06/10/25 11:30:00 PM,16.868,68.499
83,06/10/25 11:40:00 PM,16.939,69.094
84,06/10/25 11:50:00 PM,17.320,66.649
85,06/11/25 12:00:00 AM,17.058,66.838
86,06/11/25 12:10:00 AM,17.130,65.586
87,06/11/25 12:20:00 AM,16.963,66.292
88,06/11/25 12:30:00 AM,16.511,67.237
89,06/11/25 12:40:00 AM,15.915,70.119
90,06/11/25 12:50:00 AM,16.177,69.359
91,06/11/25 01:00:00 AM,15.796,70.645
92,06/11/25 01:10:00 AM,15.652,71.135
93,06/11/25 01:20:00 AM,15.819,70.822
94,06/11/25 01:30:00 AM,15.438,71.581
95,06/11/25 01:40:00 AM,15.175,72.388
96,06/11/25 01:50:00 AM,15.294,72.782
97,06/11/25 02:00:00 AM,15.414,72.891
98,06/11/25 02:10:00 AM,15.008,74.429
99,06/11/25 02:20:00 AM,14.577,76.060
100,06/11/25 02:30:00 AM,14.409,76.586
101,06/11/25 02:40:00 AM,14.529,76.274
102,06/11/25 02:50:00 AM,14.002,78.893
103,06/11/25 03:00:00 AM,14.146,77.814
104,06/11/25 03:10:00 AM,13.690,78.743
105,06/11/25 03:20:00 AM,13.618,79.335
106,06/11/25 03:30:00 AM,13.642,80.029
107,06/11/25 03:40:00 AM,13.834,79.603
108,06/11/25 03:50:00 AM,13.473,80.130
109,06/11/25 04:00:00 AM,13.449,80.591
110,06/11/25 04:10:00 AM,13.353,80.789
111,06/11/25 04:20:00 AM,13.233,81.501
112,06/11/25 04:30:00 AM,12.992,81.856
113,06/11/25 04:40:00 AM,12.799,81.976
114,06/11/25 04:50:00 AM,12.678,82.763
115,06/11/25 05:00:00 AM,12.534,82.892
116,06/11/25 05:10:00 AM,12.630,83.185
117,06/11/25 05:20:00 AM,12.678,83.358
118,06/11/25 05:30:00 AM,12.823,83.283
119,06/11/25 05:40:00 AM,12.654,83.028
120,06/11/25 05:50:00 AM,12.485,83.584
121,06/11/25 06:00:00 AM,12.558,83.924
122,06/11/25 06:10:00 AM,12.727,83.666
123,06/11/25 06:20:00 AM,12.485,83.476
124,06/11/25 06:30:00 AM,12.582,83.714
125,06/11/25 06:40:00 AM,12.799,83.682
126,06/11/25 06:50:00 AM,12.823,83.769
127,06/11/25 07:00:00 AM,13.473,82.698
128,06/11/25 07:10:00 AM,14.481,79.770
129,06/11/25 07:20:00 AM,14.984,77.823
130,06/11/25 07:30:00 AM,15.366,76.672
131,06/11/25 07:40:00 AM,15.724,76.690
132,06/11/25 07:50:00 AM,16.392,74.081
133,06/11/25 08:00:00 AM,16.844,73.829
134,06/11/25 08:10:00 AM,17.867,71.154
135,06/11/25 08:20:00 AM,17.701,69.904
136,06/11/25 08:30:00 AM,18.081,69.742
137,06/11/25 08:40:00 AM,18.533,68.130
138,06/11/25 08:50:00 AM,18.105,72.412
139,06/11/25 09:00:00 AM,18.343,73.064
140,06/11/25 09:10:00 AM,18.461,70.541
141,06/11/25 09:20:00 AM,19.080,69.139
142,06/11/25 09:30:00 AM,19.460,68.269
143,06/11/25 09:40:00 AM,19.056,64.438
144,06/11/25 09:50:00 AM,19.413,64.797
145,06/11/25 10:00:00 AM,19.888,62.061
146,06/11/25 10:10:00 AM,20.341,62.075
147,06/11/25 10:20:00 AM,19.888,63.623
148,06/11/25 10:30:00 AM,20.746,61.355
149,06/11/25 10:40:00 AM,20.460,59.853
150,06/11/25 10:50:00 AM,21.151,57.576
151,06/11/25 11:00:00 AM,21.318,54.512
152,06/11/25 11:10:00 AM,22.298,54.747
153,06/11/25 11:20:00 AM,22.609,52.573
154,06/11/25 11:30:00 AM,21.939,53.761
155,06/11/25 11:40:00 AM,21.987,53.487
156,06/11/25 11:50:00 AM,22.321,52.658
157,06/11/25 12:00:00 PM,23.088,48.688
158,06/11/25 12:10:00 PM,23.617,48.150
159,06/11/25 12:20:00 PM,23.689,48.351
160,06/11/25 12:30:00 PM,23.785,47.213
161,06/11/25 12:40:00 PM,24.339,46.768
162,06/11/25 12:50:00 PM,24.532,47.370
163,06/11/25 01:00:00 PM,24.677,48.669
164,06/11/25 01:10:00 PM,24.581,46.670
165,06/11/25 01:20:00 PM,25.016,47.238
