"Plot Title: Yverdon_les_Tropiques_3"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963343, SEN S/N: 10963343, LBL: temp)","RH, % (LGR S/N: 10963343, SEN S/N: 10963343, LBL: RH)"
1,06/10/25 12:50:00 PM,24.581,51.646
2,06/10/25 01:00:00 PM,24.823,52.722
3,06/10/25 01:10:00 PM,24.677,51.691
4,06/10/25 01:20:00 PM,25.186,51.823
5,06/10/25 01:30:00 PM,26.353,50.868
6,06/10/25 01:40:00 PM,27.554,49.424
7,06/10/25 01:50:00 PM,25.040,47.883
8,06/10/25 02:00:00 PM,26.329,44.942
9,06/10/25 02:10:00 PM,26.598,43.476
10,06/10/25 02:20:00 PM,26.500,43.072
11,06/10/25 02:30:00 PM,26.426,44.173
12,06/10/25 02:40:00 PM,27.259,45.248
13,06/10/25 02:50:00 PM,26.378,46.503
14,06/10/25 03:00:00 PM,26.671,48.989
15,06/10/25 03:10:00 PM,26.671,46.280
16,06/10/25 03:20:00 PM,26.793,50.862
17,06/10/25 03:30:00 PM,27.776,46.869
18,06/10/25 03:40:00 PM,26.573,46.204
19,06/10/25 03:50:00 PM,27.308,43.753
20,06/10/25 04:00:00 PM,27.998,43.767
21,06/10/25 04:10:00 PM,27.850,43.718
22,06/10/25 04:20:00 PM,27.801,44.823
23,06/10/25 04:30:00 PM,27.456,44.293
24,06/10/25 04:40:00 PM,27.628,44.150
25,06/10/25 04:50:00 PM,27.014,45.121
26,06/10/25 05:00:00 PM,27.530,44.498
27,06/10/25 05:10:00 PM,27.727,42.687
28,06/10/25 05:20:00 PM,27.530,43.190
29,06/10/25 05:30:00 PM,27.628,45.422
30,06/10/25 05:40:00 PM,28.320,42.228
31,06/10/25 05:50:00 PM,27.431,44.682
32,06/10/25 06:00:00 PM,28.023,44.882
33,06/10/25 06:10:00 PM,28.122,44.371
34,06/10/25 06:20:00 PM,27.407,46.305
35,06/10/25 06:30:00 PM,27.776,44.559
36,06/10/25 06:40:00 PM,27.801,39.761
37,06/10/25 06:50:00 PM,27.702,33.840
38,06/10/25 07:00:00 PM,26.646,33.744
39,06/10/25 07:10:00 PM,26.134,35.437
40,06/10/25 07:20:00 PM,26.061,36.164
41,06/10/25 07:30:00 PM,25.890,37.642
42,06/10/25 07:40:00 PM,25.210,41.849
43,06/10/25 07:50:00 PM,25.016,44.916
44,06/10/25 08:00:00 PM,24.992,43.096
45,06/10/25 08:10:00 PM,24.508,43.073
46,06/10/25 08:20:00 PM,24.436,43.065
47,06/10/25 08:30:00 PM,23.569,46.417
48,06/10/25 08:40:00 PM,23.424,45.885
49,06/10/25 08:50:00 PM,23.521,46.635
50,06/10/25 09:00:00 PM,22.824,49.416
51,06/10/25 09:10:00 PM,22.705,49.527
52,06/10/25 09:20:00 PM,22.609,49.673
53,06/10/25 09:30:00 PM,22.202,50.346
54,06/10/25 09:40:00 PM,22.369,48.818
55,06/10/25 09:50:00 PM,22.202,46.951
56,06/10/25 10:00:00 PM,21.676,48.728
57,06/10/25 10:10:00 PM,21.867,47.832
58,06/10/25 10:20:00 PM,21.604,47.958
59,06/10/25 10:30:00 PM,21.390,48.628
60,06/10/25 10:40:00 PM,20.460,51.149
61,06/10/25 10:50:00 PM,19.888,53.532
62,06/10/25 11:00:00 PM,19.888,53.501
63,06/10/25 11:10:00 PM,19.318,55.703
64,06/10/25 11:20:00 PM,19.080,56.588
65,06/10/25 11:30:00 PM,18.295,60.084
66,06/10/25 11:40:00 PM,18.010,62.291
67,06/10/25 11:50:00 PM,18.438,59.986
68,06/11/25 12:00:00 AM,17.748,63.352
69,06/11/25 12:10:00 AM,16.892,67.803
70,06/11/25 12:20:00 AM,16.868,68.994
71,06/11/25 12:30:00 AM,15.867,70.255
72,06/11/25 12:40:00 AM,15.939,72.194
73,06/11/25 12:50:00 AM,15.819,72.628
74,06/11/25 01:00:00 AM,15.175,76.155
75,06/11/25 01:10:00 AM,15.605,73.840
76,06/11/25 01:20:00 AM,15.819,72.800
77,06/11/25 01:30:00 AM,15.891,72.070
78,06/11/25 01:40:00 AM,15.724,73.066
79,06/11/25 01:50:00 AM,14.649,77.111
80,06/11/25 02:00:00 AM,14.218,79.768
81,06/11/25 02:10:00 AM,14.577,78.628
82,06/11/25 02:20:00 AM,14.553,78.317
83,06/11/25 02:30:00 AM,14.912,76.690
84,06/11/25 02:40:00 AM,14.601,77.073
85,06/11/25 02:50:00 AM,14.290,78.705
86,06/11/25 03:00:00 AM,14.170,79.095
87,06/11/25 03:10:00 AM,14.361,78.693
88,06/11/25 03:20:00 AM,14.577,77.654
89,06/11/25 03:30:00 AM,14.361,76.939
90,06/11/25 03:40:00 AM,13.738,79.940
91,06/11/25 03:50:00 AM,13.257,82.078
92,06/11/25 04:00:00 AM,12.703,83.957
93,06/11/25 04:10:00 AM,12.799,85.162
94,06/11/25 04:20:00 AM,13.353,83.782
95,06/11/25 04:30:00 AM,13.233,83.214
96,06/11/25 04:40:00 AM,13.161,82.736
97,06/11/25 04:50:00 AM,13.064,83.554
98,06/11/25 05:00:00 AM,12.871,83.726
99,06/11/25 05:10:00 AM,12.775,83.731
100,06/11/25 05:20:00 AM,12.534,84.805
101,06/11/25 05:30:00 AM,12.485,85.463
102,06/11/25 05:40:00 AM,12.316,85.717
103,06/11/25 05:50:00 AM,12.437,86.013
104,06/11/25 06:00:00 AM,12.558,85.641
105,06/11/25 06:10:00 AM,12.509,85.870
106,06/11/25 06:20:00 AM,12.243,85.994
107,06/11/25 06:30:00 AM,12.195,86.435
108,06/11/25 06:40:00 AM,12.316,87.313
109,06/11/25 06:50:00 AM,12.654,86.624
110,06/11/25 07:00:00 AM,14.242,85.714
111,06/11/25 07:10:00 AM,14.697,81.277
112,06/11/25 07:20:00 AM,15.366,79.380
113,06/11/25 07:30:00 AM,16.106,77.022
114,06/11/25 07:40:00 AM,15.796,79.277
115,06/11/25 07:50:00 AM,16.034,77.484
116,06/11/25 08:00:00 AM,17.272,77.179
117,06/11/25 08:10:00 AM,17.748,74.780
118,06/11/25 08:20:00 AM,17.748,74.837
119,06/11/25 08:30:00 AM,17.796,72.525
120,06/11/25 08:40:00 AM,17.558,73.369
121,06/11/25 08:50:00 AM,17.891,74.409
122,06/11/25 09:00:00 AM,18.081,74.932
123,06/11/25 09:10:00 AM,18.485,74.556
124,06/11/25 09:20:00 AM,18.747,72.739
125,06/11/25 09:30:00 AM,19.175,71.751
126,06/11/25 09:40:00 AM,19.008,70.469
127,06/11/25 09:50:00 AM,19.246,68.289
128,06/11/25 10:00:00 AM,19.151,66.177
129,06/11/25 10:10:00 AM,19.698,64.070
130,06/11/25 10:20:00 AM,19.199,62.518
131,06/11/25 10:30:00 AM,19.460,61.298
132,06/11/25 10:40:00 AM,19.151,62.930
133,06/11/25 10:50:00 AM,19.555,62.548
134,06/11/25 11:00:00 AM,19.984,62.107
135,06/11/25 11:10:00 AM,20.531,61.653
136,06/11/25 11:20:00 AM,21.270,60.681
137,06/11/25 11:30:00 AM,21.318,59.195
138,06/11/25 11:40:00 AM,21.652,56.636
139,06/11/25 11:50:00 AM,21.223,58.997
140,06/11/25 12:00:00 PM,20.817,60.700
141,06/11/25 12:10:00 PM,22.226,59.888
142,06/11/25 12:20:00 PM,21.557,56.590
143,06/11/25 12:30:00 PM,21.652,59.186
144,06/11/25 12:40:00 PM,22.489,58.303
145,06/11/25 12:50:00 PM,22.082,57.749
146,06/11/25 01:00:00 PM,23.088,53.924
147,06/11/25 01:10:00 PM,23.064,52.636
148,06/11/25 01:20:00 PM,22.992,53.879
149,06/11/25 01:30:00 PM,23.256,56.410
150,06/11/25 01:40:00 PM,23.617,53.404
151,06/11/25 01:50:00 PM,23.376,53.715
152,06/11/25 02:00:00 PM,24.171,53.607
153,06/11/25 02:10:00 PM,24.460,50.488
154,06/11/25 02:20:00 PM,24.557,49.738
155,06/11/25 02:30:00 PM,24.726,51.032
156,06/11/25 02:40:00 PM,24.774,52.905
157,06/11/25 02:50:00 PM,24.243,53.177
158,06/11/25 03:00:00 PM,24.605,51.206
159,06/11/25 03:10:00 PM,24.944,49.438
160,06/11/25 03:20:00 PM,25.283,51.138
161,06/11/25 03:30:00 PM,24.726,50.746
162,06/11/25 03:40:00 PM,25.866,51.026
163,06/11/25 03:50:00 PM,25.501,52.848
164,06/11/25 04:00:00 PM,25.065,53.481
165,06/11/25 04:10:00 PM,26.036,50.762
166,06/11/25 04:20:00 PM,25.768,50.216
167,06/11/25 04:30:00 PM,26.085,49.010
168,06/11/25 04:40:00 PM,26.134,47.699
169,06/11/25 04:50:00 PM,26.109,46.955
170,06/11/25 05:00:00 PM,26.891,48.245
171,06/11/25 05:10:00 PM,26.378,47.343
172,06/11/25 05:20:00 PM,25.793,49.228
173,06/11/25 05:30:00 PM,26.085,49.682
174,06/11/25 05:40:00 PM,26.671,47.702
175,06/11/25 05:50:00 PM,26.134,48.984
176,06/11/25 06:00:00 PM,26.158,49.500
177,06/11/25 06:10:00 PM,26.402,50.459
178,06/11/25 06:20:00 PM,26.256,51.173
179,06/11/25 06:30:00 PM,26.402,48.569
180,06/11/25 06:40:00 PM,26.426,51.674
181,06/11/25 06:50:00 PM,26.500,50.568
182,06/11/25 07:00:00 PM,25.647,51.410
183,06/11/25 07:10:00 PM,25.841,53.622
184,06/11/25 07:20:00 PM,26.109,55.078
185,06/11/25 07:30:00 PM,25.890,56.269
186,06/11/25 07:40:00 PM,25.283,58.236
187,06/11/25 07:50:00 PM,24.823,58.971
188,06/11/25 08:00:00 PM,24.484,59.906
189,06/11/25 08:10:00 PM,24.436,61.158
190,06/11/25 08:20:00 PM,24.002,63.194
191,06/11/25 08:30:00 PM,23.713,64.026
192,06/11/25 08:40:00 PM,23.569,65.030
193,06/11/25 08:50:00 PM,22.944,66.785
194,06/11/25 09:00:00 PM,22.441,68.721
195,06/11/25 09:10:00 PM,21.127,72.910
196,06/11/25 09:20:00 PM,21.127,73.839
197,06/11/25 09:30:00 PM,21.413,71.536
198,06/11/25 09:40:00 PM,20.793,72.642
199,06/11/25 09:50:00 PM,20.222,74.614
200,06/11/25 10:00:00 PM,19.841,76.116
201,06/11/25 10:10:00 PM,19.508,74.300
202,06/11/25 10:20:00 PM,19.222,72.252
203,06/11/25 10:30:00 PM,19.080,71.906
204,06/11/25 10:40:00 PM,18.461,74.236
205,06/11/25 10:50:00 PM,19.008,73.020
206,06/11/25 11:00:00 PM,18.699,72.556
207,06/11/25 11:10:00 PM,18.366,73.586
208,06/11/25 11:20:00 PM,18.533,71.483
