"Plot Title: Yverdon_les_Tropiques_2"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10963350, SEN S/N: 10963350, LBL: temp)","RH, % (LGR S/N: 10963350, SEN S/N: 10963350, LBL: RH)"
1,06/10/25 10:00:00 AM,24.581,47.536
2,06/10/25 10:10:00 AM,24.484,47.524
3,06/10/25 10:20:00 AM,24.339,47.506
4,06/10/25 10:30:00 AM,24.195,47.904
5,06/10/25 10:40:00 AM,24.050,49.894
6,06/10/25 10:50:00 AM,23.905,50.224
7,06/10/25 11:00:00 AM,24.508,55.192
8,06/10/25 11:10:00 AM,24.677,50.104
9,06/10/25 11:20:00 AM,24.484,49.091
10,06/10/25 11:30:00 AM,24.315,48.942
11,06/10/25 11:40:00 AM,24.195,49.022
12,06/10/25 11:50:00 AM,24.098,49.201
13,06/10/25 12:00:00 PM,24.002,49.347
14,06/10/25 12:10:00 PM,23.930,49.465
15,06/10/25 12:20:00 PM,23.857,49.646
16,06/10/25 12:30:00 PM,23.857,51.295
17,06/10/25 12:40:00 PM,24.412,51.180
18,06/10/25 12:50:00 PM,24.363,50.603
19,06/10/25 01:00:00 PM,24.363,50.698
20,06/10/25 01:10:00 PM,24.363,50.983
21,06/10/25 01:20:00 PM,24.508,53.214
22,06/10/25 01:30:00 PM,24.798,53.066
23,06/10/25 01:40:00 PM,25.113,53.425
24,06/10/25 01:50:00 PM,25.428,51.507
25,06/10/25 02:00:00 PM,25.744,49.318
26,06/10/25 02:10:00 PM,28.171,41.552
27,06/10/25 02:20:00 PM,25.939,45.609
28,06/10/25 02:30:00 PM,25.987,47.681
29,06/10/25 02:40:00 PM,26.329,47.981
30,06/10/25 02:50:00 PM,25.890,48.183
31,06/10/25 03:00:00 PM,26.061,48.879
32,06/10/25 03:10:00 PM,25.963,49.762
33,06/10/25 03:20:00 PM,25.817,49.456
34,06/10/25 03:30:00 PM,26.500,47.326
35,06/10/25 03:40:00 PM,26.573,46.689
36,06/10/25 03:50:00 PM,27.063,44.704
37,06/10/25 04:00:00 PM,27.284,45.446
38,06/10/25 04:10:00 PM,26.940,44.233
39,06/10/25 04:20:00 PM,27.358,43.955
40,06/10/25 04:30:00 PM,27.505,43.612
41,06/10/25 04:40:00 PM,27.358,45.097
42,06/10/25 04:50:00 PM,27.284,42.998
43,06/10/25 05:00:00 PM,27.382,44.089
44,06/10/25 05:10:00 PM,27.407,43.208
45,06/10/25 05:20:00 PM,27.284,44.306
46,06/10/25 05:30:00 PM,27.431,45.886
47,06/10/25 05:40:00 PM,27.407,45.753
48,06/10/25 05:50:00 PM,27.136,46.434
49,06/10/25 06:00:00 PM,27.038,46.455
50,06/10/25 06:10:00 PM,26.965,47.158
51,06/10/25 06:20:00 PM,26.769,48.873
52,06/10/25 06:30:00 PM,26.646,48.343
53,06/10/25 06:40:00 PM,26.573,47.561
54,06/10/25 06:50:00 PM,26.671,38.683
55,06/10/25 07:00:00 PM,26.573,32.324
56,06/10/25 07:10:00 PM,26.475,33.325
57,06/10/25 07:20:00 PM,26.109,33.426
58,06/10/25 07:30:00 PM,25.987,34.019
59,06/10/25 07:40:00 PM,25.866,31.958
60,06/10/25 07:50:00 PM,25.234,38.600
61,06/10/25 08:00:00 PM,24.774,40.066
62,06/10/25 08:10:00 PM,24.532,40.695
63,06/10/25 08:20:00 PM,23.930,43.688
64,06/10/25 08:30:00 PM,23.665,45.271
65,06/10/25 08:40:00 PM,23.304,47.440
66,06/10/25 08:50:00 PM,22.992,48.326
67,06/10/25 09:00:00 PM,22.513,50.072
68,06/10/25 09:10:00 PM,22.106,51.184
69,06/10/25 09:20:00 PM,22.321,49.951
70,06/10/25 09:30:00 PM,21.819,50.894
71,06/10/25 09:40:00 PM,21.533,50.949
72,06/10/25 09:50:00 PM,21.485,51.037
73,06/10/25 10:00:00 PM,21.103,52.738
74,06/10/25 10:10:00 PM,21.079,50.291
75,06/10/25 10:20:00 PM,21.461,48.573
76,06/10/25 10:30:00 PM,21.915,45.766
77,06/10/25 10:40:00 PM,20.484,51.715
78,06/10/25 10:50:00 PM,19.484,55.973
79,06/10/25 11:00:00 PM,18.889,57.781
80,06/10/25 11:10:00 PM,18.105,62.934
81,06/10/25 11:20:00 PM,17.748,64.273
82,06/10/25 11:30:00 PM,17.510,65.239
83,06/10/25 11:40:00 PM,17.320,66.649
84,06/10/25 11:50:00 PM,17.082,68.596
85,06/11/25 12:00:00 AM,16.987,68.637
86,06/11/25 12:10:00 AM,16.987,67.879
87,06/11/25 12:20:00 AM,16.963,66.967
88,06/11/25 12:30:00 AM,16.034,70.776
89,06/11/25 12:40:00 AM,16.058,70.579
90,06/11/25 12:50:00 AM,16.249,68.850
91,06/11/25 01:00:00 AM,15.891,70.461
92,06/11/25 01:10:00 AM,15.724,70.314
93,06/11/25 01:20:00 AM,15.509,71.308
94,06/11/25 01:30:00 AM,15.485,72.192
95,06/11/25 01:40:00 AM,15.008,72.868
96,06/11/25 01:50:00 AM,14.888,74.716
97,06/11/25 02:00:00 AM,14.912,75.538
98,06/11/25 02:10:00 AM,14.721,76.089
99,06/11/25 02:20:00 AM,14.529,78.284
100,06/11/25 02:30:00 AM,14.194,78.601
101,06/11/25 02:40:00 AM,14.026,78.843
102,06/11/25 02:50:00 AM,14.218,80.072
103,06/11/25 03:00:00 AM,14.002,78.948
104,06/11/25 03:10:00 AM,13.714,80.265
105,06/11/25 03:20:00 AM,13.594,80.732
106,06/11/25 03:30:00 AM,13.594,81.280
107,06/11/25 03:40:00 AM,13.040,82.247
108,06/11/25 03:50:00 AM,12.920,82.953
109,06/11/25 04:00:00 AM,13.016,82.839
110,06/11/25 04:10:00 AM,13.209,82.829
111,06/11/25 04:20:00 AM,13.112,83.186
112,06/11/25 04:30:00 AM,13.137,83.327
113,06/11/25 04:40:00 AM,12.968,82.693
114,06/11/25 04:50:00 AM,12.413,83.971
115,06/11/25 05:00:00 AM,12.171,84.533
116,06/11/25 05:10:00 AM,12.195,85.449
117,06/11/25 05:20:00 AM,12.195,86.062
118,06/11/25 05:30:00 AM,12.219,86.414
119,06/11/25 05:40:00 AM,12.074,86.619
120,06/11/25 05:50:00 AM,12.025,86.793
121,06/11/25 06:00:00 AM,12.050,86.799
122,06/11/25 06:10:00 AM,12.050,86.825
